shard_id,shard_key,points_count,sample_count
0,centroid_00,35285,1102
1,centroid_01,24412,762
2,centroid_02,21913,684
3,centroid_03,31348,979
4,centroid_04,35087,1096
5,centroid_05,50729,1585
6,centroid_06,22077,689
7,centroid_07,20401,637
8,centroid_08,39516,1234
9,centroid_09,9123,285
10,centroid_10,49546,1548
11,centroid_11,38602,1206
12,centroid_12,14983,468
13,centroid_13,11462,358
14,centroid_14,34424,1075
15,centroid_15,32827,1025
16,centroid_16,23359,729
17,centroid_17,20932,654
18,centroid_18,27941,873
19,centroid_19,52028,1625
20,centroid_20,39584,1237
21,centroid_21,26280,821
22,centroid_22,48137,1504
23,centroid_23,33019,1031
24,centroid_24,24621,769
25,centroid_25,26931,841
26,centroid_26,11132,347
27,centroid_27,22899,715
28,centroid_28,14268,445
29,centroid_29,11023,344
30,centroid_30,12877,402
31,centroid_31,34423,1075
32,centroid_32,37604,1175
33,centroid_33,20527,641
34,centroid_34,14450,451
35,centroid_35,40263,1258
36,centroid_36,38722,1210
37,centroid_37,22596,706
38,centroid_38,13624,425
39,centroid_39,18066,564
40,centroid_40,16419,513
41,centroid_41,11756,367
42,centroid_42,29909,934
43,centroid_43,18389,574
