ef_search_up,dynamic_ef_base,dynamic_ef_factor,qps,recall_at_10,avg_visited_shards,avg_total_hops,avg_l0_hops_per_visited_shard,avg_distance_computations,started_at_epoch
40.0,8.0,2.0,6892.59,0.76702,9.1086,235.162,26.2248,7641.82,1776411442.6580186
40.0,8.0,4.0,5482.24,0.80812,9.1086,323.585,41.9991,9893.08,1776411442.6580186
40.0,8.0,6.0,4502.23,0.83146,9.1086,411.78,57.8037,11997.3,1776411442.6580186
40.0,8.0,8.0,3885.38,0.84634,9.1086,499.356,73.55,13973.4,1776411442.6580186
40.0,8.0,10.0,3493.6,0.85668,9.1086,586.95,89.3149,15869.3,1776411442.6580186
40.0,12.0,2.0,6206.52,0.78224,9.1086,274.809,30.4695,8849.99,1776411442.6580186
40.0,12.0,4.0,5039.64,0.81734,9.1086,362.487,46.1931,11043.9,1776411442.6580186
40.0,12.0,6.0,4261.27,0.83836,9.1086,450.044,61.9358,13098.2,1776411442.6580186
40.0,12.0,8.0,3691.15,0.85134,9.1086,537.213,77.6598,15039.4,1776411442.6580186
40.0,12.0,10.0,3222.17,0.86082,9.1086,624.27,93.3836,16897.1,1776411442.6580186
40.0,16.0,2.0,5086.44,0.7937,9.1086,313.403,34.621,9999.81,1776411442.6580186
40.0,16.0,4.0,4076.51,0.82454,9.1086,400.496,50.3064,12142.8,1776411442.6580186
40.0,16.0,6.0,3550.77,0.8441,9.1086,487.357,65.9985,14148.4,1776411442.6580186
40.0,16.0,8.0,3146.92,0.8561,9.1086,574.372,81.7114,16064.7,1776411442.6580186
40.0,16.0,10.0,2858.79,0.86474,9.1086,661.196,97.4195,17896.9,1776411442.6580186
40.0,20.0,2.0,4475.71,0.80292,9.1086,350.901,38.6912,11092.7,1776411442.6580186
40.0,20.0,4.0,3802.21,0.83072,9.1086,437.492,54.3426,13190.8,1776411442.6580186
40.0,20.0,6.0,3334.49,0.84872,9.1086,524.335,70.0317,15174.6,1776411442.6580186
40.0,20.0,8.0,2964.5,0.86008,9.1086,610.9,85.715,17057.5,1776411442.6580186
40.0,20.0,10.0,2689.85,0.86788,9.1086,697.584,101.404,18867.9,1776411442.6580186
40.0,24.0,2.0,4081.34,0.81072,9.1086,387.933,42.7304,12151.4,1776411442.6580186
40.0,24.0,4.0,3553.6,0.8371,9.1086,474.393,58.3638,14221.4,1776411442.6580186
40.0,24.0,6.0,3132.82,0.85314,9.1086,560.75,74.0211,16167.0,1776411442.6580186
40.0,24.0,8.0,2754.45,0.86356,9.1086,647.382,89.7108,18034.5,1776411442.6580186
40.0,24.0,10.0,2570.0,0.87084,9.1086,733.803,105.385,19821.5,1776411442.6580186
40.0,28.0,2.0,3822.01,0.81866,9.1086,424.464,46.7191,13179.9,1776411442.6580186
40.0,28.0,4.0,3327.52,0.84208,9.1086,510.801,62.3581,15219.1,1776411442.6580186
40.0,28.0,6.0,2964.85,0.85716,9.1086,597.015,78.0053,17144.5,1776411442.6580186
40.0,28.0,8.0,2676.73,0.8666,9.1086,683.504,93.6715,18987.7,1776411442.6580186
40.0,28.0,10.0,2461.62,0.8736,9.1086,769.864,109.336,20756.5,1776411442.6580186
60.0,8.0,2.0,4586.36,0.80054,11.8722,328.626,28.2056,10516.8,1776411442.6580186
60.0,8.0,4.0,3630.63,0.84166,11.8722,461.687,45.9565,13822.0,1776411442.6580186
60.0,8.0,6.0,3024.38,0.86308,11.8722,594.215,63.6916,16886.0,1776411442.6580186
60.0,8.0,8.0,2595.61,0.87674,11.8722,726.014,81.388,19763.7,1776411442.6580186
60.0,8.0,10.0,2283.83,0.8863,11.8722,857.812,99.0855,22508.6,1776411442.6580186
60.0,12.0,2.0,4152.42,0.81234,11.8722,380.543,32.4958,12104.2,1776411442.6580186
60.0,12.0,4.0,3344.37,0.84894,11.8722,512.658,50.1791,15334.6,1776411442.6580186
60.0,12.0,6.0,2826.81,0.868,11.8722,644.196,67.846,18328.6,1776411442.6580186
60.0,12.0,8.0,2459.1,0.8805,11.8722,775.411,85.5041,21153.3,1776411442.6580186
60.0,12.0,10.0,2176.31,0.8901,11.8722,906.62,103.171,23851.4,1776411442.6580186
60.0,16.0,2.0,3765.33,0.8216,11.8722,431.158,36.6858,13616.7,1776411442.6580186
60.0,16.0,4.0,3153.8,0.8547,11.8722,562.297,54.3098,16771.3,1776411442.6580186
60.0,16.0,6.0,2792.83,0.87274,11.8722,693.119,71.9329,19709.6,1776411442.6580186
60.0,16.0,8.0,2468.42,0.8841,11.8722,824.043,89.5776,22497.2,1776411442.6580186
60.0,16.0,10.0,2218.25,0.89324,11.8722,954.774,107.211,25155.2,1776411442.6580186
60.0,20.0,2.0,3642.7,0.83032,11.8722,480.266,40.7747,15051.3,1776411442.6580186
60.0,20.0,4.0,3051.01,0.86034,11.8722,610.896,58.3737,18153.0,1776411442.6580186
60.0,20.0,6.0,2625.9,0.8771,11.8722,741.437,75.9792,21052.1,1776411442.6580186
60.0,20.0,8.0,2318.23,0.88756,11.8722,871.934,93.6064,23797.9,1776411442.6580186
60.0,20.0,10.0,2092.46,0.8959,11.8722,1002.1,111.204,26418.9,1776411442.6580186
60.0,24.0,2.0,3324.15,0.83806,11.8722,528.738,44.825,16445.4,1776411442.6580186
60.0,24.0,4.0,2773.8,0.8657,11.8722,659.032,62.4065,19501.5,1776411442.6580186
60.0,24.0,6.0,2490.21,0.88114,11.8722,789.042,79.9905,22349.7,1776411442.6580186
60.0,24.0,8.0,2215.47,0.89034,11.8722,919.215,97.5846,25065.8,1776411442.6580186
60.0,24.0,10.0,1995.62,0.89866,11.8722,1049.25,115.175,27661.0,1776411442.6580186
60.0,28.0,2.0,3120.99,0.84466,11.8722,576.436,48.8294,17795.3,1776411442.6580186
60.0,28.0,4.0,2679.31,0.86998,11.8722,706.344,66.3879,20801.8,1776411442.6580186
60.0,28.0,6.0,2343.15,0.88414,11.8722,836.199,83.9565,23622.7,1776411442.6580186
60.0,28.0,8.0,2117.35,0.89288,11.8722,966.258,101.548,26310.3,1776411442.6580186
60.0,28.0,10.0,1926.15,0.90072,11.8722,1096.5,119.147,28890.4,1776411442.6580186
80.0,8.0,2.0,3888.03,0.81924,14.245,418.199,29.7389,13208.8,1776411442.6580186
80.0,8.0,4.0,3054.58,0.86022,14.245,596.137,48.991,17553.7,1776411442.6580186
80.0,8.0,6.0,2522.73,0.881,14.245,772.966,68.2053,21550.8,1776411442.6580186
80.0,8.0,8.0,2153.06,0.89452,14.245,949.079,87.386,25296.2,1776411442.6580186
80.0,8.0,10.0,1902.5,0.90396,14.245,1124.6,106.532,28844.5,1776411442.6580186
80.0,12.0,2.0,3503.78,0.83004,14.245,480.444,34.0393,15109.1,1776411442.6580186
80.0,12.0,4.0,2810.82,0.86694,14.245,657.235,53.2299,19359.2,1776411442.6580186
80.0,12.0,6.0,2364.19,0.8856,14.245,832.898,72.3693,23275.1,1776411442.6580186
80.0,12.0,8.0,2048.73,0.89806,14.245,1008.2,91.502,26953.5,1776411442.6580186
80.0,12.0,10.0,1800.95,0.90688,14.245,1183.34,110.634,30457.2,1776411442.6580186
80.0,16.0,2.0,3204.25,0.83926,14.245,541.296,38.2443,16929.7,1776411442.6580186
80.0,16.0,4.0,2653.97,0.87238,14.245,716.47,57.3487,21073.7,1776411442.6580186
80.0,16.0,6.0,2242.14,0.88932,14.245,891.402,76.4562,24921.5,1776411442.6580186
80.0,16.0,8.0,1949.81,0.90136,14.245,1066.33,95.5669,28556.6,1776411442.6580186
80.0,16.0,10.0,1724.92,0.9093,14.245,1240.96,114.675,32009.3,1776411442.6580186
80.0,20.0,2.0,2907.11,0.84718,14.245,600.337,42.3531,18656.5,1776411442.6580186
80.0,20.0,4.0,2412.33,0.8771,14.245,774.846,61.425,22733.6,1776411442.6580186
